康师傅茉莉浪漫电影季之茉等花开	9,110万次播放
11度青春之《老男孩》	8,674万次播放
把乐带回家2013微电影主题曲《相亲相爱2013》	6,735万次播放
把乐带回家之猴王世家	4,661万次播放
《床上关系2》	4,544万次播放
多芬最不能错过的真实感动-妈妈你很美	4,519万次播放
把乐带回家之猴王世家	4,357万次播放
定格动画	4,035万次播放
嘻哈三部曲之绝世高手	3,874万次播放
多芬沐浴乳致闺蜜II-不留遗憾，最真情裸告白	3,414万次播放
【青春感恩记】《父亲》父子篇	3,307万次播放
幸福59厘米之爱有多久	2,893万次播放
【青春感恩记】《父亲》父女篇	2,623万次播放
逆袭之《灰机灰机》 陈柏坚导演	2,588万次播放
把乐带回家之猴王世家	2,555万次播放
2012爱家日微电影《时间门》—红星美凯龙出品	2,416万次播放
梦的汽车人	2,216万次播放
偷领导的菜的严重后果《嘻哈4重奏》06	2,174万次播放
嘻哈三部曲之婚纱照	1,943万次播放
赢家	1,870万次播放
石头剪刀布	1,840万次播放
毛骗 第01集	1,811万次播放
奥利奥亲子1号作品-摇滚童年	1,754万次播放
幸福59厘米之小马	1,638万次播放
叉烧一定要“甜而不腻”-乐事“谁是你的菜”第4集	1,620万次播放
我要进前十	1,584万次播放
HTC微电影《微笑的真相》	1,578万次播放
虾球最好是“囧而不衰”-乐事“谁是你的菜”第5集	1,568万次播放
嘻哈三部曲之幽浮目击者	1,521万次播放
夫妻对换(换爱之夜)	1,407万次播放
11度青春之《拳击手的秘密》	1,333万次播放
麻辣隔壁·贰 第01集	1,310万次播放
第68届法国戛纳电影节展映影片《等我回家》	1,233万次播放
【原创贺岁档】之《遇到另一种生活》	1,231万次播放
第1集：微微信任你	1,226万次播放
11度青春之《李雷与韩梅梅》	1,219万次播放
小幸感-上篇.寻找初恋情人	1,214万次播放
一位台湾同胞献给祖国国庆日的歌曲【原创MV词曲】张殿昀 (脏爸爸) aka Daddy Chang	1,207万次播放
《大话西游之唐僧美人劫》霸道总裁高空双飞激战洋妞	1,171万次播放
王统作品、微电影《回家过年》	1,161万次播放
毛骗·贰 第01集	1,156万次播放
4夜奇谭之爱在微博蔓延时（下）	1,152万次播放
逆袭之《2B青年的不醉人生》 黄渤导演	1,122万次播放
麻辣隔壁 第01集	1,111万次播放
罗启锐导演作品《爱•从心发现》	1,102万次播放
一路上有你	1,049万次播放
超震撼！全球点击过千万，1分钟影响万千职场女性ShineStrong	1,047万次播放
《我的微商女友》预告片	1,035万次播放
超清〈红星美凯龙出品〉让一亿人触目惊心的不在场证明	1,024万次播放
《到此一游》一个老兵不为人知的辛酸	1,005万次播放
福特福睿斯幸福时光微电影大赛——狗狗寻家记	1,004万次播放
生死承诺HD（央视第二届杭州国际微电影节金奖作品）	1,003万次播放
红夜	1,000万次播放
《这一刻，爱吧》感动精华版	980.0万次播放
《大话水浒》系列剧（第一季）	964.2万次播放
李阳导演作品《坏未来》	963.6万次播放
喝醉后的遭遇	936.7万次播放
幸福59厘米之别闹	922.4万次播放
《红包篇》	891.5万次播放
08草根贺岁大片《混混》最终版	889.3万次播放
煎饼·杰克逊	867.8万次播放
微电影《大话西游3——五百年奇缘》	866.9万次播放
11度青春之《江湖再见》	863.8万次播放
金杯《传承》	861.4万次播放
下一步.爱	852.0万次播放
《爱，在四川---汶川篇 新生》微电影正片	841.9万次播放
4夜奇谭之指甲刀人魔（下）	817.7万次播放
幸福59厘米之无镜的爱	814.8万次播放
人生有很多种可能，完美是一种——《米娅完美女生》	792.7万次播放
麻辣隔壁·贰 第03集	789.9万次播放
4夜奇谭之假戏真作（上）	781.7万次播放
11度青春之《哎》	778.3万次播放
逐爱之旅	769.6万次播放
鬼点灯	769.4万次播放
P3!P3!	755.5万次播放
【勇敢爱】之《末日来电》	744.5万次播放
麻辣隔壁.贰 02集	743.6万次播放
微电影《裸归》一个成功商人的落迫归途	738.0万次播放
4夜奇谭之假戏真作（下）	731.9万次播放
王小帅白羊座《停留》	724.5万次播放
