轻松时刻 第二季	10.8*10000
歌手是谁 2015	10.5*10000
轻松时刻 第一季	9.4*10000
火星情报局 第一季	9.3*10000
暴走法条君 2016	8.0*10000
侣行 第二季	5.5*10000
优酷全娱乐 2013	4.9*10000
晓说 第二季	4.0*10000
原创精选 2013	3.6*10000
侣行 第三季	3.4*10000
小苹果	3.2*10000
挑战好声音 2016	3.0*10000
优酷全明星 2014	2.9*10000
原创精选 2014	2.9*10000
全娱乐早扒点 2016 8月	2.7*10000
轻松时刻 第三季	2.7*10000
全娱乐早扒点 2015 7月	2.6*10000
一千零一夜	2.5*10000
优酷全明星 2015	2.5*10000
全娱乐早扒点 2016 9月	2.4*10000
亲艾的衣橱 2015	2.3*10000
男神女神 第一季	2.3*10000
喜剧者联盟 2016	2.2*10000
原创精选 2015	2.2*10000
全娱乐早扒点 2016 7月	2.2*10000
优酷全娱乐 2014 3月	2.1*10000
晓说 第一季	2.1*10000
优酷全娱乐 2014 8月	2.1*10000
室友一起宅 2015	2.0*10000
优酷全娱乐 2014 5月	2.0*10000
