老九门	109.13*10000
画江湖之不良人	5.12*10000
我不是妖怪	1.61*10000
灵魂摆渡2	15.12*10000
盗墓笔记	40.29*10000
最好的我们	26.52*10000
灵魂摆渡	15.41*10000
校花的贴身高手4	1.88*10000
校花的贴身高手2	3.78*10000
校花的贴身高手3	2.59*10000
校花的贴身高手	15.56*10000
废柴兄弟4	4.96*10000
废柴兄弟3	7.20*10000
心理罪	7.47*10000
花千骨2015	18.18*10000
白衣校花与大长腿2	5.38*10000
废柴兄弟1	6.71*10000
废柴兄弟2	5.57*10000
替身	4.50*10000
芈月传奇—战国红颜	4.56*10000
我的朋友陈白露小姐	6.37*10000
白衣校花与大长腿	3.28*10000
活着再见	2.57*10000
神剧亮了	未识别
涩世纪传说	6.02*10000
假如我有超能力	1.93*10000
白衣校花与大长腿2番外篇	2628
假如我有超能力	1.93*10000
乾隆秘史	2.37*10000
我的美女老师	3.39*10000
你好外星人	1.50*10000
百变五侠之我是大明星	4.07*10000
来自星星的继承者们	1.38*10000
不可思议的夏天	1.18*10000
